,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
104,29220,29220,29220,29220,Sell,2016-10-14,2016-10-17 18:33:24,SYNNEX CORP,SNX,MIAU MATTHEW, director,"1,000",$106.8400,"$106,840.0000","5,547,260",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
105,29221,29221,29221,29221,Sell,2016-10-14,2016-10-17 18:33:24,SYNNEX CORP,SNX,MIAU MATTHEW, director,"1,400",$105.5100,"$147,714.0000","5,550,360",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
106,29222,29222,29222,29222,Sell,2016-10-14,2016-10-17 18:33:24,SYNNEX CORP,SNX,MIAU MATTHEW, director,"1,500",$106.8300,"$160,245.0000","4,278,550",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
107,29223,29223,29223,29223,Sell,2016-10-14,2016-10-17 18:33:24,SYNNEX CORP,SNX,MIAU MATTHEW, director,847,$105.5100,"$89,367.0000","4,282,050",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
108,29338,29338,29338,29338,Sell,2016-10-14,2016-10-17 21:37:59,SYNNEX CORP,SNX,PEER DEVELOPMENTS LTD, 10% owner,"1,500",$106.8300,"$160,245.0000","4,278,550",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
109,29339,29339,29339,29339,Sell,2016-10-14,2016-10-17 21:26:48,SYNNEX CORP,SNX,MiTAC International CORP, 10% owner,"1,000",$106.8400,"$106,840.0000","5,547,260",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
110,29340,29340,29340,29340,Sell,2016-10-14,2016-10-17 21:26:48,SYNNEX CORP,SNX,MiTAC International CORP, 10% owner,"2,100",$106.8100,"$224,301.0000","5,548,260",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
111,29370,29370,29370,29370,Sell,2016-10-14,2016-10-17 18:33:24,SYNNEX CORP,SNX,MIAU MATTHEW, director,"2,000",$106.8100,"$213,620.0000","4,280,050",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
112,29371,29371,29371,29371,Sell,2016-10-14,2016-10-17 18:33:24,SYNNEX CORP,SNX,MIAU MATTHEW, director,500,$106.9200,"$53,460.0000","5,546,760",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
113,29372,29372,29372,29372,Sell,2016-10-14,2016-10-17 18:33:24,SYNNEX CORP,SNX,MIAU MATTHEW, director,"2,100",$106.8100,"$224,301.0000","5,548,260",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
