"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"COF^C","Capital One Financial Corporation","25.63","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cof^c",
"CFFN","Capitol Federal Financial, Inc.","13.16","1859234785.24","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cffn",
"CIC","Capitol Investment Corp. IV","10.14","510168750","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cic",
"CSTR","CapStar Financial Holdings, Inc.","15.88","281468569.48","n/a","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/cstr",
"CARO","Carolina Financial Corporation","36.2","807419931.6","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/caro",
"CART","Carolina Trust BancShares, Inc.","8.27","59188282.49","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cart",
"CARV","Carver Bancorp, Inc.","3.3442","12369740.9888","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/carv",
"CATY","Cathay General Bancorp","36.51","2938260834.48","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/caty",
"CBFV","CB Financial Services, Inc.","24.53","133254049.17","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cbfv",
"CBMB","CBM Bancorp, Inc.","13.18","55777760","n/a","2018","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cbmb",
"CBRE","CBRE Group, Inc.","50.33","16902562011.23","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/cbre",
"CBTX","CBTX, Inc.","32.94","856527389.82","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/cbtx",
"CSFL","CenterState Bank Corporation","25.64","2456397560.68","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/csfl",
"CFBK","Central Federal Corporation","12.77","54944087.07","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cfbk",
"CVCY","Central Valley Community Bancorp","19.93","273288749.83","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cvcy",
"CNBKA","Century Bancorp, Inc.","76.66","426835903.94","n/a","1987","Finance","Major Banks","https://www.nasdaq.com/symbol/cnbka",
"CFFA","CF Finance Acquisition Corp.","9.86","278627952.18","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/cffa",
"CFFAU","CF Finance Acquisition Corp.","10.17","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/cffau",
"CFFAW","CF Finance Acquisition Corp.","0.47","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/cffaw",
"CTAC","ChaSerg Technology Acquisition Corp.","9.88","278023200","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctac",
"CTACU","ChaSerg Technology Acquisition Corp.","10.18","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctacu",
"CTACW","ChaSerg Technology Acquisition Corp.","0.59","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctacw",
"CHFC","Chemical Financial Corporation","44.02","3146487883.96","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chfc",
"CHMG","Chemung Financial Corp","47","228185000","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chmg",
"GLG","China Bat Group, Inc.","1.83","1800397.92","n/a","2013","Finance","Major Banks","https://www.nasdaq.com/symbol/glg",
"JRJC","China Finance Online Co. Limited","1.52","32253793.52","21219601","2004","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jrjc",
"HGSH","China HGS Real Estate, Inc.","1.1","49555000","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/hgsh",
"CLDC","China Lending Corporation","1.27","31149161.73","n/a","2014","Finance","Diversified Financial Services","https://www.nasdaq.com/symbol/cldc",
"LFC","China Life Insurance Company Limited","13.65","77162644650","n/a","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/lfc",
"XRF","China Rapid Finance Limited","1.42","93378078.2","n/a","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/xrf",
"CB","Chubb Limited","134.52","61661403645.24","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/cb",
"CINF","Cincinnati Financial Corporation","85.04","13856238930.96","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/cinf",
"CIT","CIT Group Inc (DEL)","50.11","5051538589.12","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cit",
"BLW","Citigroup Inc.","14.75","540390086","n/a","2003","Finance","Major Banks","https://www.nasdaq.com/symbol/blw",
"C","Citigroup Inc.","63.65","148972271117.7","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/c",
"C^K","Citigroup Inc.","27.55","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/c^k",
"C^N","Citigroup Inc.","26.67","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/c^n",
"CZNC","Citizens & Northern Corp","26.85","332743511.7","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cznc",
"CZWI","Citizens Community Bancorp, Inc.","12.04","131880284.48","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/czwi",
"CFG","Citizens Financial Group, Inc.","35.5","16343845213","n/a","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/cfg",
"CZFC","Citizens First Corporation","25.4","64455167","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/czfc",
